alpha,xi,sigma,beta,primal_lr,dual_lr,lambda_max,dual_momentum,reset_lambda_per_outer,num_seeds,final_total_mean,final_total_std,final_upper_mean,final_upper_std,final_lower_mean,final_lower_std,final_max_constraint_mean,final_max_constraint_std,final_score_mean,final_score_std,tail_mean_total_mean,tail_mean_total_std,tail_mean_upper_mean,tail_mean_upper_std,tail_mean_lower_mean,tail_mean_lower_std,tail_mean_max_constraint_mean,tail_mean_max_constraint_std,tail_score_mean,tail_score_std,best_total_mean,best_total_std,best_upper_mean,best_upper_std,best_lower_mean,best_lower_std,best_max_constraint_mean,best_max_constraint_std,time_mean,time_std,method,status,error
0.001,0.01,0.001,0.01,0.01,0.0001,100.0,0.0,False,1,0.7344634532928467,0.0,0.0006797629757784307,0.0,0.7337836623191833,0.0,1.6844217777252197,0.0,2.4188852310180664,0.0,0.7344634532928467,0.0,0.0006797629757784307,0.0,0.7337836623191833,0.0,1.6844217777252197,0.0,2.4188852310180664,0.0,0.7344634532928467,0.0,0.0006797629757784307,0.0,0.3714917302131653,0.0,1.6844217777252197,0.0,10.796239545568824,0.0,PD,ok,
0.001,0.001,0.001,0.01,0.01,0.0001,100.0,0.0,False,1,0.7344806790351868,0.0,0.0006806799792684615,0.0,0.7337999939918518,0.0,1.6844444274902344,0.0,2.418925106525421,0.0,0.7344806790351868,0.0,0.0006806799792684615,0.0,0.7337999939918518,0.0,1.6844444274902344,0.0,2.418925106525421,0.0,0.7344806790351868,0.0,0.0006806799792684615,0.0,0.3714917302131653,0.0,1.6844444274902344,0.0,10.623297732323408,0.0,PD,ok,
0.001,0.0001,0.001,0.01,0.01,0.0001,100.0,0.0,False,1,0.7344827651977539,0.0,0.0006807890022173524,0.0,0.7338019609451294,0.0,1.684446930885315,0.0,2.418929696083069,0.0,0.7344827651977539,0.0,0.0006807890022173524,0.0,0.7338019609451294,0.0,1.684446930885315,0.0,2.418929696083069,0.0,0.7344827651977539,0.0,0.0006807890022173524,0.0,0.3714917302131653,0.0,1.684446930885315,0.0,10.624971670098603,0.0,PD,ok,
0.001,0.01,0.001,0.001,0.01,0.0001,100.0,0.0,False,1,0.7344821691513062,0.0,0.0006810501217842102,0.0,0.7338011264801025,0.0,1.6844456195831299,0.0,2.418927788734436,0.0,0.7344821691513062,0.0,0.0006810501217842102,0.0,0.7338011264801025,0.0,1.6844456195831299,0.0,2.418927788734436,0.0,0.7344821691513062,0.0,0.0006810501217842102,0.0,0.3714917302131653,0.0,1.6844456195831299,0.0,10.74449339415878,0.0,PD,ok,
0.001,0.001,0.001,0.001,0.01,0.0001,100.0,0.0,False,1,0.7345001101493835,0.0,0.0006819994887337089,0.0,0.7338181138038635,0.0,1.6844685077667236,0.0,2.418968617916107,0.0,0.7345001101493835,0.0,0.0006819994887337089,0.0,0.7338181138038635,0.0,1.6844685077667236,0.0,2.418968617916107,0.0,0.7345001101493835,0.0,0.0006819994887337089,0.0,0.3714917302131653,0.0,1.6844685077667236,0.0,10.511255773715675,0.0,PD,ok,
0.001,0.0001,0.001,0.001,0.01,0.0001,100.0,0.0,False,1,0.7345017790794373,0.0,0.0006820835405960679,0.0,0.7338197231292725,0.0,1.6844706535339355,0.0,2.418972432613373,0.0,0.7345017790794373,0.0,0.0006820835405960679,0.0,0.7338197231292725,0.0,1.6844706535339355,0.0,2.418972432613373,0.0,0.7345017790794373,0.0,0.0006820835405960679,0.0,0.3714917302131653,0.0,1.6844706535339355,0.0,10.54075826331973,0.0,PD,ok,
0.001,0.1,0.001,0.001,0.001,0.001,100.0,0.0,False,1,0.4847189486026764,0.0,0.0041727060452103615,0.0,0.480546236038208,0.0,1.7817307710647583,0.0,2.2664497196674347,0.0,0.4847189486026764,0.0,0.0041727060452103615,0.0,0.480546236038208,0.0,1.7817307710647583,0.0,2.2664497196674347,0.0,0.4847189486026764,0.0,0.0041727060452103615,0.0,0.3714917302131653,0.0,1.7817307710647583,0.0,10.831388222053647,0.0,PD,ok,
0.001,0.1,0.001,0.01,0.001,0.001,100.0,0.0,False,1,0.4845309555530548,0.0,0.004178296774625778,0.0,0.4803526699542999,0.0,1.7818171977996826,0.0,2.2663481533527374,0.0,0.4845309555530548,0.0,0.004178296774625778,0.0,0.4803526699542999,0.0,1.7818171977996826,0.0,2.2663481533527374,0.0,0.4845309555530548,0.0,0.004178296774625778,0.0,0.3714917302131653,0.0,1.7818171977996826,0.0,10.930806949734688,0.0,PD,ok,
0.001,0.01,0.001,0.001,0.001,0.001,100.0,0.0,False,1,0.4846779406070709,0.0,0.004178639035671949,0.0,0.4804992973804474,0.0,1.78191077709198,0.0,2.266588717699051,0.0,0.4846779406070709,0.0,0.004178639035671949,0.0,0.4804992973804474,0.0,1.78191077709198,0.0,2.266588717699051,0.0,0.4846779406070709,0.0,0.004178639035671949,0.0,0.3714917302131653,0.0,1.78191077709198,0.0,10.791610955260694,0.0,PD,ok,
0.001,0.001,0.001,0.001,0.001,0.001,100.0,0.0,False,1,0.48467397689819336,0.0,0.004179190844297409,0.0,0.48049479722976685,0.0,1.7819279432296753,0.0,2.2666019201278687,0.0,0.48467397689819336,0.0,0.004179190844297409,0.0,0.48049479722976685,0.0,1.7819279432296753,0.0,2.2666019201278687,0.0,0.48467397689819336,0.0,0.004179190844297409,0.0,0.3714917302131653,0.0,1.7819279432296753,0.0,10.915933543816209,0.0,PD,ok,
